ID,review,sentiment_label,vader_sentiment
1,Just got back from Marrakech and I'm still reeling from the experience! 🌟,Positive,Neutral
2,"Meh, Jemaa el-Fna square was okay, I guess. Too many people trying to sell me stuff.",Neutral,Positive
3,"The architecture in Marrakech is literally wow 🤩, especially the Bahia Palace!",Positive,Positive
4,"Got scammed by a taxi driver near Majorelle Garden, be careful out there! 😡",Negative,Positive
5,"The locals were so friendly and welcoming, it made our trip even more special 😊",Positive,Positive
6,"The heat in Marrakech is no joke, don't forget your sunscreen! ☀️",Neutral,Positive
7,"Our riad was adorable, but the noise from the street was a bit much.",Neutral,Positive
8,Just had the best tagine of my life at a small restaurant near the square! 🍴,Positive,Positive
9,"The Atlas Mountains were breathtaking, definitely worth the trip 🏔️",Positive,Positive
10,"Jemaa el-Fna square at night is a whole different world, so much energy! 🌃",Positive,Positive
11,"Be prepared for some aggressive vendors, it can get overwhelming.",Negative,Positive
12,"Marrakech is a city like no other, the mix of old and new is so fascinating 🤯",Positive,Positive
13,"The food was amazing, but the portion sizes were a bit small for the price.",Neutral,Positive
14,"Our hotel was nice, but the staff seemed a bit unfriendly at times.",Neutral,Negative
15,"The souks are a must-visit, but be prepared to haggle and get a bit lost 😂",Positive,Negative
16,"Majorelle Garden was stunning, a peaceful oasis in the midst of chaos 🌿",Positive,Positive
17,"Got lost in the medina for hours, but it was actually kind of fun? 🗺️",Neutral,Positive
18,"The locals' hospitality is legendary, we were treated like family 🙏",Positive,Positive
19,"The scams and pickpocketing are a real issue, be super careful with your belongings.",Negative,Positive
20,"All in all, Marrakech is a city that will leave you with unforgettable memories 😊",Positive,Negative
21,"Just got back from Jemaa el-Fna square, wow what an experience! 🌟",Positive,Positive
22,"Majorelle Garden was meh, not worth the hype. 🌿",Negative,Negative
23,"Stayed at a lovely Riad, the staff was so helpful and friendly. 👍",Positive,Positive
24,"The heat in Marrakech is no joke, be prepared! ☀️",Neutral,Positive
25,"Got scammed by a taxi driver, beware of the scams in Marrakech! 😡",Negative,Negative
26,"Had the best tagine at a local restaurant, the flavors were amazing! 🍴",Positive,Positive
27,"The architecture in Marrakech is stunning, so much history and beauty. 🏛️",Positive,Positive
28,"Took a trip to the Atlas Mountains, the scenery was breathtaking. 🏔️",Positive,Positive
