ID,review,sentiment_label
1,Just got back from Marrakech and I'm still reeling from the experience! 🌟,Positive
2,"Meh, Jemaa el-Fna square was okay, I guess. Too many people trying to sell me stuff.",Neutral
3,"The architecture in Marrakech is literally wow 🤩, especially the Bahia Palace!",Positive
4,"Got scammed by a taxi driver near Majorelle Garden, be careful out there! 😡",Negative
5,"The locals were so friendly and welcoming, it made our trip even more special 😊",Positive
6,"The heat in Marrakech is no joke, don't forget your sunscreen! ☀️",Neutral
7,"Our riad was adorable, but the noise from the street was a bit much.",Neutral
8,Just had the best tagine of my life at a small restaurant near the square! 🍴,Positive
9,"The Atlas Mountains were breathtaking, definitely worth the trip 🏔️",Positive
10,"Jemaa el-Fna square at night is a whole different world, so much energy! 🌃",Positive
11,"Be prepared for some aggressive vendors, it can get overwhelming.",Negative
12,"Marrakech is a city like no other, the mix of old and new is so fascinating 🤯",Positive
13,"The food was amazing, but the portion sizes were a bit small for the price.",Neutral
14,"Our hotel was nice, but the staff seemed a bit unfriendly at times.",Neutral
15,"The souks are a must-visit, but be prepared to haggle and get a bit lost 😂",Positive
16,"Majorelle Garden was stunning, a peaceful oasis in the midst of chaos 🌿",Positive
17,"Got lost in the medina for hours, but it was actually kind of fun? 🗺️",Neutral
18,"The locals' hospitality is legendary, we were treated like family 🙏",Positive
19,"The scams and pickpocketing are a real issue, be super careful with your belongings.",Negative
20,"All in all, Marrakech is a city that will leave you with unforgettable memories 😊",Positive
21,"Just got back from Jemaa el-Fna square, wow what an experience! 🌟",Positive
22,"Majorelle Garden was meh, not worth the hype. 🌿",Negative
23,"Stayed at a lovely Riad, the staff was so helpful and friendly. 👍",Positive
24,"The heat in Marrakech is no joke, be prepared! ☀️",Neutral
25,"Got scammed by a taxi driver, beware of the scams in Marrakech! 😡",Negative
26,"Had the best tagine at a local restaurant, the flavors were amazing! 🍴",Positive
27,"The architecture in Marrakech is stunning, so much history and beauty. 🏛️",Positive
28,"Took a trip to the Atlas Mountains, the scenery was breathtaking. 🏔️",Positive
29,"The locals in Marrakech are so hospitable, they made me feel at home. ❤️",Positive
30,"Jemaa el-Fna square at night is a must-see, the energy is electric! 🎉",Positive
31,"The food in Marrakech is delicious, but be careful of the street food. 🍔",Neutral
32,"Marrakech is a city like no other, the mix of old and new is fascinating. 🤯",Positive
33,"The souks in Marrakech are a treasure trove, you can find anything you want. 🛍️",Positive
34,"Be prepared to haggle in Marrakech, it's a way of life. 😂",Neutral
35,"The hotel I stayed at was nice, but the wifi was spotty. 📱",Neutral
36,"The scams in Marrakech are rampant, be careful of your belongings. 😬",Negative
37,"Took a cooking class in Marrakech, learned how to make the perfect tagine. 🍲",Positive
38,"The view from the rooftop of my Riad was stunning, could see the whole city. 🌆",Positive
39,"Marrakech is a city that will leave you exhausted, but also exhilarated. 😴",Neutral
40,"The locals in Marrakech are friendly, but also persistent, be prepared to say no. 😊",Neutral
41,Marrakech is insane! Loved the energy at Jemaa el-Fna square 🌟,Positive
42,"Meh, Majorelle Garden was just okay, expected more 😐",Neutral
43,Just got back from Marrakech and I'm still dreaming about the tagine 🍴,Positive
44,"The heat in Marrakech is no joke, stay hydrated y'all! 💧",Neutral
45,"Scammed by a taxi driver, totally ruined my trip 😡",Negative
46,"Wow, the architecture in Marrakech is stunning, so much history 🏯",Positive
47,"The locals in Marrakech are so friendly and welcoming, felt right at home 🌈",Positive
48,"The Atlas Mountains are breathtaking, totally worth the trip 🏔️",Positive
49,"Our riad was beautiful, but the service was a bit slow 😐",Neutral
50,"Be careful with the taxi drivers, they'll try to rip you off 🚨",Negative
51,"The food in Marrakech is amazing, but be prepared for some weird looks if you're a vegan 🤷‍♀️",Neutral
52,"Jemaa el-Fna square at night is a whole different world, so much fun 🌃",Positive
53,"Marrakech is a total sensory overload, but in the best way possible 🎉",Positive
54,"The souks in Marrakech are crazy, but you can find some great deals if you're willing to haggle 🛍️",Neutral
55,"Just spent the day exploring the Medina and I'm exhausted, but happy 😊",Positive
56,"The hospitality in Marrakech is top-notch, the locals will treat you like family 👪",Positive
57,"The heat and crowds in Marrakech were too much for me, won't be back 😓",Negative
58,"Marrakech is a city like no other, the energy is palpable 💃",Positive
59,"Our hotel was nice, but the air conditioning didn't work properly, bummer 😔",Negative
60,"The tagine at our riad was the best meal I had in Marrakech, highly recommend 🍴",Positive
61,"Just got back from Marrakech and I'm still reeling from the experience, wow! 🌟",Positive
62,"Majorelle Garden was meh, expected more I guess...",Negative
63,"The riad we stayed at was stunning, perfect blend of traditional and modern 🏨",Positive
64,"Be prepared for the heat, it's no joke! ⚠️",Neutral
65,"Got scammed by a taxi driver, beware of those guys... 😡",Negative
66,"Tagine at this one restaurant was to die for, best meal of my life! 🍴",Positive
67,"Jemaa el-Fna square is insane, so much energy! 🎉",Positive
68,"The architecture in Marrakech is so unique and beautiful, loved it 🏙️",Positive
69,"Took a trip to the Atlas Mountains, breathtaking views but tough hike... 🏔️",Neutral
70,"Locals were super friendly and welcoming, made our trip even more special 👫",Positive
71,"Not a fan of the food here, too spicy for my taste 😐",Negative
72,"Our hotel was really close to Jemaa el-Fna, perfect location! 📍",Positive
73,"Marrakech can be overwhelming, but it's an experience you won't forget 🙃",Neutral
74,"The gardens at our riad were so peaceful, loved relaxing there 🌺",Positive
75,"Beware of scams in the medina, keep your wits about you... 😬",Negative
76,"The souks were amazing, found some great deals on souvenirs 🛍️",Positive
77,"Not impressed with the service at our hotel, meh 🤔",Negative
78,"Took a cooking class and learned how to make tagine, so much fun! 🍳",Positive
79,"The heat and crowds were too much for me, needed a break 🥵",Negative
80,"Marrakech has a special energy, can't wait to go back! 🙌",Positive
81,Just got back from Marrakech and I'm still reeling from the experience! The Jemaa el-Fna square was wow 🤩,Positive
82,"Majorelle Garden was pretty, but the heat was unbearable. Meh, wouldn't go back.",Neutral
83,"Our riad was gorgeous, the staff was so friendly and helpful. 💕",Positive
84,"Be careful with the taxi drivers, they'll scam you in a heartbeat. 😡",Negative
85,"The tagine at this one restaurant was to die for, I'm still dreaming about it. 😋",Positive
86,"The architecture in Marrakech is stunning, but the streets can be overwhelming.",Neutral
87,Took a day trip to the Atlas Mountains and it was breathtaking. 🏔️,Positive
88,"The locals were so hospitable, they made us feel right at home. ❤️",Positive
89,"Jemaa el-Fna square at night is a whole different story, it's like a different world. 🌃",Neutral
90,"Our hotel was nice, but the pool was tiny. Not worth the money, if you ask me.",Negative
91,"The food in Marrakech is amazing, but be prepared for some stomach issues. 🤢",Neutral
92,"Marrakech is a city like no other, the energy is palpable. 💥",Positive
93,"The scams in Marrakech are no joke, be careful with your belongings. 😬",Negative
94,"The Majorelle Garden is a must-see, the gardens are stunning. 🌺",Positive
95,"The heat in Marrakech is no joke, make sure to stay hydrated. 💧",Neutral
